time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.45473807893e-07,2.00240702014e-07,10.0026625775,0.000205600270309,0.000243458886251,0.0,-2.14348518319e-05,1.77485979241e-05,0.088749101186,0.00952444822858,0.0111393328557,0.0,433.72799798653944,434.6622966479227,432.0329321942496,432.8350348415416
0.12000000000000001,-1.08884247422e-05,8.27167333216e-06,10.0105803629,0.00134050732536,0.0021391969427,0.0,-0.000478194779778,0.000341237439085,0.175166935713,0.0330739520945,0.0558473139363,0.0,430.51189739714437,434.27793044412573,431.7771750763595,433.7589971150549
0.18,-9.24910030926e-05,6.14449335725e-05,10.0226262807,0.00308473234783,0.00538841163225,0.0,-0.00255487153411,0.00160933825725,0.226353069215,0.0195379922698,0.0505320688835,0.0,421.41235835664764,420.95486299324295,421.7416470465377,420.5713889155036
0.23999999999999996,-0.000348327103209,0.000215255046499,10.0357801342,0.00463378191169,0.00845219291958,0.0,-0.00623238035278,0.00363539181666,0.212109549225,0.0360914884205,0.0521039489963,0.0,398.5353655518084,398.68098100953466,398.78509751039877,400.2942561385119
0.3,-0.000915295799589,0.000541481004529,10.0522311799,0.00717815108412,0.0114084534752,0.0,-0.0129881776569,0.00748971743276,0.33622513312,0.0527263876637,0.0429015441001,0.0,445.2396802353943,444.4877843369596,443.5778891363649,444.9425723061299
0.36000000000000004,-0.00194346876831,0.0011534033427,10.0756402758,0.0106378994446,0.0144290031495,0.0,-0.0215756304545,0.0132505536949,0.444035178681,0.0660513123708,0.06213667795,0.0,439.216701379586,440.81040395035683,438.4955644304605,439.603223841607
0.4200000000000001,-0.00358867036249,0.00221203550244,10.1077870819,0.0147797068878,0.0176339593602,0.0,-0.0336738084826,0.0225002311485,0.62742962514,0.0744035290487,0.0236214314517,0.0,464.6062904366284,461.57868276750304,462.34234921090587,463.0032134938324
0.48000000000000015,-0.00597639941358,0.00388213088928,10.1482857068,0.0188909851801,0.01918524779,0.0,-0.046066928781,0.0336067745465,0.722458607989,0.0529168197757,0.0299836552237,0.0,435.49109491891386,436.02300661849216,436.7549495149195,434.96298458738806
0.5400000000000001,-0.00924198384122,0.0064001719773,10.1996625995,0.022792984674,0.0206073341185,0.0,-0.0629922909435,0.0507816685749,0.989897521753,0.082140509135,0.00657036667035,0.0,488.3461865851064,486.5968649152532,487.0421091290245,489.22512889369267
0.6000000000000002,-0.0134736841203,0.009964997716,10.2632484314,0.0275171777382,0.0210313658231,0.0,-0.0781060997689,0.0685643819791,1.12948777382,0.0708757226167,0.00804281407962,0.0,450.1291563649979,450.24817348469765,451.0701782923585,450.16449297883554
0.6600000000000003,-0.0185922285985,0.0146568533375,10.3337797032,0.0314787583738,0.0219619828899,0.0,-0.092584691123,0.0882443060396,1.22144569749,0.0539441350763,0.0273411781529,0.0,434.6331721785542,436.24732677427517,436.8182600960327,435.40744107239624
0.7200000000000003,-0.0245477777355,0.0205281608073,10.4073674951,0.0351690240374,0.0237682101464,0.0,-0.106087004312,0.107775080184,1.23145496003,0.073448853873,0.0351233841074,0.0,408.34500184488655,409.03893552515393,408.5372320845687,410.2754515338951
0.7800000000000004,-0.031451982834,0.0277967616322,10.485881656,0.0395973827492,0.0257344473127,0.0,-0.124273971625,0.134990543126,1.38548374304,0.0745104376568,0.0275935978837,0.0,455.3458577336896,454.74353609821475,455.82550619444504,455.91442090856987
0.8400000000000004,-0.0394687907795,0.0367649645876,10.5728398385,0.0440153165643,0.0271932761462,0.0,-0.143115514032,0.164413585623,1.51293518985,0.0718163433531,0.0167808167493,0.0,447.9060242632621,447.02594930752366,448.0496311016946,447.8347413744632
0.9000000000000005,-0.048622555564,0.0475554097307,10.6666075126,0.0483935079014,0.0284859864451,0.0,-0.16212549836,0.195703543893,1.61249132335,0.0751812710811,0.0296853305989,0.0,437.91406821112,438.98610941716566,440.1209722329126,440.4035420834369
0.9600000000000005,-0.0590418529035,0.060477748089,10.7696528569,0.0533209487287,0.0299546167764,0.0,-0.185371620076,0.235585153426,1.82200352297,0.0932740296574,0.0112212157547,0.0,474.45548899820864,473.03592980480175,472.10684547037766,473.5055866116484
1.0200000000000005,-0.0708105831085,0.0757781957421,10.8827421534,0.0591939371644,0.0306880582225,0.0,-0.206988441609,0.275024666294,1.94739160081,0.105789565583,0.0141577498811,0.0,448.3505679837899,448.58894835125903,448.1949232326181,449.2189333347314
1.0800000000000005,-0.0839277013357,0.0936417930058,11.004470393,0.0660439793186,0.0316173576481,0.0,-0.230339938881,0.321147245169,2.10987261292,0.127118851689,0.0180247473474,0.0,460.23560669402787,460.5414448288872,459.7814725839693,461.478975605118
1.1400000000000006,-0.0984478250519,0.114388757928,11.1353036475,0.0732377983816,0.0323017408458,0.0,-0.253757718507,0.37120536849,2.25089798885,0.0987778714244,-0.00708436374212,0.0,455.51588723574,453.5035338818579,456.0314623862091,453.7742823518149
1.2000000000000006,-0.11431578329,0.138136366622,11.2725330366,0.0787426369527,0.0319243467944,0.0,-0.275131306853,0.420933024399,2.32321742548,0.071497053215,-0.00474646846348,0.0,434.648727617906,434.84471212314946,434.0277644766471,431.73919951670854
1.2600000000000007,-0.131622313166,0.165374077762,11.4191621243,0.0830138945197,0.0321583878314,0.0,-0.30173950699,0.487470659707,2.56385035396,0.0705618177779,0.0171869441196,0.0,484.5885186418813,486.23436836683686,485.45313989800064,485.38638290787856
